
matrixupdate 0.896438 matrix 0.882838, up: 1.924761, left 5.042022, right 0.122980, downright 1.052419, down 0.301587, downleft 0.113366

matrixupdate 0.910068 matrix 0.896438, up: 1.947976, left 5.075441, right 0.126064, downright 1.069177, down 0.308492, downleft 0.116309

matrixupdate 0.923727 matrix 0.910068, up: 1.971142, left 5.108624, right 0.129184, downright 1.085975, down 0.315463, downleft 0.119291

matrixupdate 0.937414 matrix 0.923727, up: 1.994258, left 5.141574, right 0.132341, downright 1.102813, down 0.322498, downleft 0.122312

matrixupdate 0.951127 matrix 0.937414, up: 2.017324, left 5.174292, right 0.135534, downright 1.119689, down 0.329597, downleft 0.125372

matrixupdate 0.964866 matrix 0.951127, up: 2.040337, left 5.206781, right 0.138763, downright 1.136601, down 0.336760, downleft 0.128471

matrixupdate 0.978630 matrix 0.964866, up: 2.063299, left 5.239043, right 0.142029, downright 1.153547, down 0.343986, downleft 0.131609

matrixupdate 0.992417 matrix 0.978630, up: 2.086206, left 5.271080, right 0.145329, downright 1.170527, down 0.351273, downleft 0.134786

matrixupdate 1.006227 matrix 0.992417, up: 2.109060, left 5.302895, right 0.148665, downright 1.187538, down 0.358622, downleft 0.138001

matrixupdate 1.020057 matrix 1.006227, up: 2.131858, left 5.334490, right 0.152037, downright 1.204580, down 0.366031, downleft 0.141254

matrixupdate 1.033909 matrix 1.020057, up: 2.154600, left 5.365866, right 0.155443, downright 1.221650, down 0.373500, downleft 0.144545

matrixupdate 1.047780 matrix 1.033909, up: 2.177286, left 5.397027, right 0.158884, downright 1.238747, down 0.381028, downleft 0.147875

matrixupdate 1.061669 matrix 1.047780, up: 2.199914, left 5.427975, right 0.162359, downright 1.255870, down 0.388615, downleft 0.151243

matrixupdate 1.075575 matrix 1.061669, up: 2.222485, left 5.458710, right 0.165868, downright 1.273017, down 0.396259, downleft 0.154648

matrixupdate 1.089499 matrix 1.075575, up: 2.244996, left 5.489237, right 0.169412, downright 1.290188, down 0.403961, downleft 0.158091

matrixupdate 1.103437 matrix 1.089499, up: 2.267449, left 5.519555, right 0.172989, downright 1.307380, down 0.411719, downleft 0.161571

matrixupdate 1.117391 matrix 1.103437, up: 2.289841, left 5.549669, right 0.176599, downright 1.324592, down 0.419532, downleft 0.165089

matrixupdate 1.131359 matrix 1.117391, up: 2.312173, left 5.579579, right 0.180243, downright 1.341824, down 0.427401, downleft 0.168644

